Satimo 1 - SG24-ATL2989S     400-6000 Mhz,,,,,,,,,SG24-ATL2989S,400-10000 Mhz,,,SH600 Horn used to create a new passive calibration file: Measurement time about 2.5 hours.,,,,,,
Yearly Reference Dipole Measurements -  (Limits: +/- .5 dB of the Average of the previous 4 measurements),,,,,,,,,Satimo 1,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,, ,,,,,
,,,,,,,,,SD665,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,2275,-0.47,-0.32,,,,,,,,
,,,,,,,,,2280,-0.41,-0.29,,,,,,,,
,,,,,,,,,2285,-0.37,-0.39,,,,,,,,
,,,,,,,,,2290,-0.32,-0.31,,,,,,,,
,,,,,,,,,2295,-0.36,-0.34,,,,,,,,
,,,,,,,,,2300,-0.33,-0.32,,,,,,,,
,,,,,,,,,2305,-0.35,-0.38,,,,,,,,
,,,,,,,,,2310,-0.3,-0.34,,,,,,,,
,,,,,,,,,2315,-0.3,-0.35,,,,,,,,
,,,,,,,,,2320,-0.3,-0.35,,,,,,,,
,,,,,,,,,2325,-0.34,-0.37,,,,,,,,
,,,,,,,,,2330,-0.35,-0.4,,,,,,,,
,,,,,,,,,,,,,,, ,,,,
,,,,,,,,,SD2450,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,2335,-0.25,-0.31,,,,,,,,
,,,,,,,,,2340,-0.32,-0.33,,,,,,,,
,,,,,,,,,2345,-0.34,-0.31,,,,,,,,
,,,,,,,,,2350,-0.4,-0.32,,,,,,,,
,,,,,,,,,2355,-0.41,-0.24,,,,,,,,
,,,,,,,,,2360,-0.47,-0.31,,,,,,,,
,,,,,,,,,2365,-0.45,-0.28,,,,,,,,
,,,,,,,,,2370,-0.45,-0.33,,,,,,,,
,,,,,,,,,2375,-0.44,-0.22,,,,,,,,
,,,,,,,,,2380,-0.4,-0.26,,,,,,,,
,,,,,,,,,2385,-0.39,-0.2,,,,,,,,
,,,,,,,,,2390,-0.36,-0.23,,,,,,,,
,,,,,,,,,2395,-0.36,-0.12,,,,,,,,
,,,,,,,,,2400,-0.31,-0.19,,,,,,,,
,,,,,,,,,2405,-0.34,-0.13,,,,,,,,
,,,,,,,,,2410,-0.37,-0.19,,,,,,,,
,,,,,,,,,2415,-0.41,-0.16,,,,,,,,
,,,,,,,,,2420,-0.4,-0.21,,,,,,,,
,,,,,,,,,2425,-0.37,-0.14,,,,,,,,
,,,,,,,,,2430,-0.39,-0.22,,,,,,,,
,,,,,,,,,2435,-0.37,-0.19,,,,,,,,
,,,,,,,,,2440,-0.42,-0.27,,,,,,,,
,,,,,,,,,2445,-0.45,-0.22,,,,,,,,
,,,,,,,,,2450,-0.53,-0.25,,,,,,,,
,,,,,,,,,2455,-0.53,-0.25,,,,,,,,
,,,,,,,,,2460,-0.55,-0.31,,,,,,,,
,,,,,,,,,2465,-0.53,-0.21,,,,,,,,
,,,,,,,,,2470,-0.48,-0.29,,,,,,,,
,,,,,,,,,2475,-0.47,-0.25,,,,,,,,
,,,,,,,,,2480,-0.42,-0.3,,,,,,,,
,,,,,,,,,2485,-0.4,-0.25,,,,,,,,
,,,,,,,,,2490,-0.34,-0.24,,,,,,,,
,,,,,,,,,2495,-0.35,-0.14,,,,,,,,
,,,,,,,,,2500,-0.34,-0.18,,,,,,,,
,,,,,,,,,2505,-0.38,-0.1,,,,,,,,
,,,,,,,,,2510,-0.4,-0.18,,,,,,,,
,,,,,,,,,2515,-0.4,-0.12,,,,,,,,
,,,,,,,,,2520,-0.46,-0.19,,,,,,,,
,,,,,,,,,2525,-0.45,-0.2,,,,,,,,
,,,,,,,,,2530,-0.51,-0.22,,,,,,,,
,,,,,,,,,2535,-0.54,-0.17,,,,,,,,
,,,,,,,,,2540,-0.61,-0.25,,,,,,,,
,,,,,,,,,2545,-0.6,-0.2,,,,,,,,
,,,,,,,,,2550,-0.66,-0.28,,,,,,,,
,,,,,,,,,2555,-0.69,-0.21,,,,,,,,
,,,,,,,,,2560,-0.7,-0.28,,,,,,,,
,,,,,,,,,2565,-0.7,-0.27,,,,,,,,
,,,,,,,,,2570,-0.7,-0.31,,,,,,,,
,,,,,,,,,2575,-0.7,-0.26,,,,,,,,
,,,,,,,,,2580,-0.64,-0.32,,,,,,,,
,,,,,,,,,2585,-0.59,-0.34,,,,,,,,
,,,,,,,,,2590,-0.51,-0.36,,,,,,,,
,,,,,,,,,2595,-0.52,-0.3,,,,,,,,
,,,,,,,,,2600,-0.55,-0.35,,,,,,,,
,,,,,,,,,2605,-0.67,-0.36,,,,,,,,
,,,,,,,,,2610,-0.8,-0.36,,,,,,,,
,,,,,,,,,2615,-0.79,-0.32,,,,,,,,
,,,,,,,,,2620,-0.79,-0.36,,,,,,,,
,,,,,,,,,2625,-0.72,-0.38,,,,,,,,
,,,,,,,,,2630,-0.75,-0.37,,,,,,,,
,,,,,,,,,2635,-0.72,-0.36,,,,,,,,
,,,,,,,,,2640,-0.8,-0.42,,,,,,,,
,,,,,,,,,2645,-0.79,-0.43,,,,,,,,
,,,,,,,,,2650,-0.68,-0.41,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,SD2600,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,2650,-1.71,-0.32,,,,,,,,
,,,,,,,,,2655,-0.42,-0.38,,,,,,,,
,,,,,,,,,2660,-0.34,-0.36,,,,,,,,
,,,,,,,,,2665,-0.33,-0.37,,,,,,,,
,,,,,,,,,2670,-0.38,-0.35,,,,,,,,
,,,,,,,,,2675,-0.33,-0.4,,,,,,,,
,,,,,,,,,2680,-0.19,-0.41,,,,,,,,
,,,,,,,,,2685,-0.16,-0.45,,,,,,,,
,,,,,,,,,2690,-0.09,-0.41,,,,,,,,
,,,,,,,,,2695,-0.11,-0.52,,,,,,,,
,,,,,,,,,2700,-0.31,-0.43,,,,,,,,
,,,,,,,,,2705,-0.36,-0.44,,,,,,,,
,,,,,,,,,2710,-0.4,-0.41,,,,,,,,
,,,,,,,,,2715,-0.42,-0.44,,,,,,,,
,,,,,,,,,2720,-0.37,-0.36,,,,,,,,
,,,,,,,,,2725,-0.26,-0.42,,,,,,,,
,,,,,,,,,2730,-0.39,-0.34,,,,,,,,
,,,,,,,,,2735,-0.42,-0.37,,,,,,,,
,,,,,,,,,2740,-0.43,-0.33,,,,,,,,
,,,,,,,,,2745,-0.42,-0.4,,,,,,,,
,,,,,,,,,2750,-0.33,-0.42,,,,,,,,
,,,,,,,,,2755,-0.26,-0.49,,,,,,,,
,,,,,,,,,2760,-0.28,-0.43,,,,,,,,
,,,,,,,,,2765,-0.29,-0.49,,,,,,,,
,,,,,,,,,2770,-0.29,-0.49,,,,,,,,
,,,,,,,,,2775,-0.35,-0.52,,,,,,,,
,,,,,,,,,2780,-0.32,-0.49,,,,,,,,
,,,,,,,,,2785,-0.26,-0.48,,,,,,,,
