Satimo 2     SG64-ATL3333S     400-10000 Mhz,,,,,,,,,SG64-ATL3333S,400-10000 Mhz,,,,
Yearly Reference Dipole Measurements,,,,,,,,, ,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD5150,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,4900,-0.46,-0.05,,,
,,,,,,,,,4905,-0.39,-0.04,,,
,,,,,,,,,4910,-0.36,0,,,
,,,,,,,,,4915,-0.42,0.03,,,
,,,,,,,,,4920,-0.43,-0.03,,,
,,,,,,,,,4925,-0.4,0.02,,,
,,,,,,,,,4930,-0.33,-0.06,,,
,,,,,,,,,4935,-0.28,0.07,,,
,,,,,,,,,4940,-0.33,-0.02,,,
,,,,,,,,,4945,-0.41,-0.11,,,
,,,,,,,,,4950,-0.42,-0.07,,,
,,,,,,,,,4955,-0.39,-0.06,,,
,,,,,,,,,4960,-0.37,-0.04,,,
,,,,,,,,,4965,-0.48,-0.16,,,
,,,,,,,,,4970,-0.47,-0.08,,,
,,,,,,,,,4975,-0.4,-0.12,,,
,,,,,,,,,4980,-0.43,-0.1,,,
,,,,,,,,,4985,-0.53,-0.06,,,
,,,,,,,,,4990,-0.44,-0.14,,,
,,,,,,,,,4995,-0.34,-0.17,,,
,,,,,,,,,5000,-0.33,-0.07,,,
,,,,,,,,,5005,-0.33,-0.01,,,
,,,,,,,,,5010,-0.38,-0.06,,,
,,,,,,,,,5015,-0.42,-0.17,,,
,,,,,,,,,5020,-0.34,-0.09,,,
,,,,,,,,,5025,-0.27,-0.23,,,
,,,,,,,,,5030,-0.31,-0.14,,,
,,,,,,,,,5035,-0.34,-0.14,,,
,,,,,,,,,5040,-0.3,-0.2,,,
,,,,,,,,,5045,-0.33,-0.24,,,
,,,,,,,,,5050,-0.37,-0.28,,,
,,,,,,,,,5055,-0.39,-0.14,,,
,,,,,,,,,5060,-0.39,-0.32,,,
,,,,,,,,,5065,-0.35,-0.31,,,
,,,,,,,,,5070,-0.38,-0.36,,,
,,,,,,,,,5075,-0.43,-0.37,,,
,,,,,,,,,5080,-0.41,-0.38,,,
,,,,,,,,,5085,-0.26,-0.4,,,
,,,,,,,,,5090,-0.26,-0.39,,,
,,,,,,,,,5095,-0.27,-0.39,,,
,,,,,,,,,5100,-0.26,-0.29,,,
,,,,,,,,,5105,-0.27,-0.28,,,
,,,,,,,,,5110,-0.22,-0.29,,,
,,,,,,,,,5115,-0.17,-0.3,,,
,,,,,,,,,5120,-0.22,-0.26,,,
,,,,,,,,,5125,-0.23,-0.17,,,
,,,,,,,,,5130,-0.16,-0.21,,,
,,,,,,,,,5135,-0.18,-0.29,,,
,,,,,,,,,5140,-0.29,-0.26,,,
,,,,,,,,,5145,-0.33,-0.19,,,
,,,,,,,,,5150,-0.28,-0.15,,,
,,,,,,,,,5155,-0.31,-0.13,,,
,,,,,,,,,5160,-0.36,-0.16,,,
,,,,,,,,,5165,-0.36,-0.23,,,
,,,,,,,,,5170,-0.35,-0.16,,,
,,,,,,,,,5175,-0.31,-0.1,,,
,,,,,,,,,5180,-0.3,-0.12,,,
,,,,,,,,,5185,-0.32,-0.11,,,
,,,,,,,,,5190,-0.3,-0.14,,,
,,,,,,,,,5195,-0.25,-0.04,,,
,,,,,,,,,5200,-0.2,-0.14,,,
,,,,,,,,,5205,-0.22,0.02,,,
,,,,,,,,,5210,-0.2,-0.04,,,
,,,,,,,,,5215,-0.17,0,,,
,,,,,,,,,5220,-0.1,-0.04,,,
,,,,,,,,,5225,-0.06,-0.08,,,
,,,,,,,,,5230,-0.12,-0.05,,,
,,,,,,,,,5235,-0.17,-0.13,,,
,,,,,,,,,5240,-0.08,-0.03,,,
,,,,,,,,,5245,-0.1,0,,,
,,,,,,,,,5250,-0.18,-0.13,,,
,,,,,,,,,5255,-0.19,-0.1,,,
,,,,,,,,,5260,-0.15,-0.14,,,
,,,,,,,,,5265,-0.16,-0.16,,,
,,,,,,,,,5270,-0.15,-0.17,,,
,,,,,,,,,5275,-0.17,-0.17,,,
,,,,,,,,,5280,-0.17,-0.23,,,
,,,,,,,,,5285,-0.07,-0.34,,,
,,,,,,,,,5290,-0.03,-0.23,,,
,,,,,,,,,5295,-0.05,-0.25,,,
,,,,,,,,,5300,-0.11,-0.21,,,
,,,,,,,,,5305,-0.1,-0.17,,,
,,,,,,,,,5310,-0.09,-0.23,,,
,,,,,,,,,5315,-0.04,-0.23,,,
,,,,,,,,,5320,-0.06,-0.3,,,
,,,,,,,,,5325,-0.1,-0.23,,,
,,,,,,,,,5330,-0.07,-0.29,,,
,,,,,,,,,5335,-0.1,-0.27,,,
,,,,,,,,,5340,-0.22,-0.33,,,
,,,,,,,,,5345,-0.19,-0.32,,,
,,,,,,,,,5350,-0.15,-0.33,,,
,,,,,,,,,5355,-0.15,-0.28,,,
,,,,,,,,,5360,-0.2,-0.29,,,
,,,,,,,,,5365,-0.2,-0.27,,,
,,,,,,,,,5370,-0.22,-0.34,,,
,,,,,,,,,5375,-0.16,-0.39,,,
,,,,,,,,,5380,-0.11,-0.37,,,
,,,,,,,,,5385,-0.12,-0.36,,,
,,,,,,,,,5390,-0.11,-0.4,,,
,,,,,,,,,5395,-0.08,-0.39,,,
,,,,,,,,,5400,-0.17,-0.47,,,
